iptelnet;porta;label;rede_origem;status_telnet;status_ping;
10.221.113.207;22;Tuffin 37305;;naook;ok;
10.221.121.242;22;Tuffin 37305;;naook;ok;
10.221.121.195;22;Tuffin 37305;;naook;ok;
10.221.121.81;22;Tuffin 37305;;ok;ok;
10.192.67.108;22;Tuffin 37305;;naook;falha;
10.221.113.127;22;Tuffin 37305;;ok;ok;
10.221.121.42;22;Tuffin 37305;;ok;ok;
10.192.40.94;22;Tuffin 37305;;naook;ok;
10.221.113.230;22;Tuffin 37305;;naook;falha;
10.221.113.229;22;Tuffin 37305;;naook;falha;
10.221.121.110;22;Tuffin 37305;;naook;ok;
10.221.121.111;22;Tuffin 37305;;naook;ok;
10.221.121.112;22;Tuffin 37305;;naook;ok;
10.221.113.244;22;Tuffin 37305;;naook;ok;
10.221.113.237;22;Tuffin 37305;;naook;ok;
10.192.26.168;22;Tuffin 37305;;naook;ok;
10.98.9.100;22;Tuffin 37305;;naook;falha;
10.98.9.101;22;Tuffin 37305;;naook;falha;
10.192.26.100;22;Tuffin 37305;;naook;ok;
10.221.25.44;22;Tuffin 37305;;naook;ok;
10.221.113.237;22;Tuffin 37305;;naook;ok;
10.192.29.246;22;Tuffin 37305;;ok;ok;
10.221.121.242;22;Tuffin 37305;;naook;ok;
10.192.26.83;22;Tuffin 37305;;naook;ok;
10.192.2.134;22;Tuffin 37305;;naook;falha;
10.192.2.133;22;Tuffin 37305;;ok;ok;
10.192.26.103;22;Tuffin 37305;;naook;ok;
10.192.26.150;22;Tuffin 37305;;ok;ok;
10.192.26.165;22;Tuffin 37305;;naook;ok;
10.192.2.144;22;Tuffin 37305;;ok;ok;
10.192.2.142;22;Tuffin 37305;;ok;ok;
10.192.40.207;22;Tuffin 37305;;ok;ok;
10.192.26.187;22;Tuffin 37305;;naook;falha;
10.192.72.110;22;Tuffin 37305;;ok;ok;
10.192.72.119;22;Tuffin 37305;;ok;ok;
200.184.192.222;22;Tuffin 37305;;naook;falha;
10.221.121.250;22;Tuffin 37305;;ok;ok;
10.221.24.5;22;Tuffin 37305;;naook;ok;
10.221.24.4;22;Tuffin 37305;;ok;ok;
10.221.24.6;22;Tuffin 37305;;ok;ok;
10.221.57.4;22;Tuffin 37305;;ok;ok;
10.221.121.249;22;Tuffin 37305;;ok;ok;
10.221.121.250;22;Tuffin 37305;;ok;ok;
10.221.63.78;22;Tuffin 37305;;naook;falha;
10.221.113.220;22;Tuffin 37305;;naook;ok;
10.221.113.207;3389;Tuffin 37305;;ok;ok;
10.221.121.242;3389;Tuffin 37305;;ok;ok;
10.221.121.195;3389;Tuffin 37305;;ok;ok;
10.221.121.81;3389;Tuffin 37305;;ok;ok;
10.192.67.108;3389;Tuffin 37305;;ok;falha;
10.221.113.127;3389;Tuffin 37305;;ok;ok;
10.221.121.42;3389;Tuffin 37305;;ok;ok;
10.192.40.94;3389;Tuffin 37305;;ok;ok;
10.221.113.230;3389;Tuffin 37305;;naook;falha;
10.221.113.229;3389;Tuffin 37305;;naook;falha;
