no range : 10.221.113.210 | Tuffin 37305 | start:  | end:  
no range : 10.221.113.207 | Tuffin 37305 | start:  | end:  
no range : 10.221.121.242 | Tuffin 37305 | start:  | end:  
no range : 10.221.121.195 | Tuffin 37305 | start:  | end:  
no range : 10.221.121.81 | Tuffin 37305 | start:  | end:  
no range : 10.192.67.108 | Tuffin 37305 | start:  | end:  
no range : 10.221.113.127 | Tuffin 37305 | start:  | end:  
no range : 10.221.121.42 | Tuffin 37305 | start:  | end:  
no range : 10.192.40.94 | Tuffin 37305 | start:  | end:  
no range : 10.221.113.230 | Tuffin 37305 | start:  | end:  
no range : 10.221.113.229 | Tuffin 37305 | start:  | end:  
no range : 10.221.121.110 | Tuffin 37305 | start:  | end:  
no range : 10.221.121.111 | Tuffin 37305 | start:  | end:  
no range : 10.221.121.112 | Tuffin 37305 | start:  | end:  
no range : 10.221.113.244 | Tuffin 37305 | start:  | end:  
no range : 10.221.113.237 | Tuffin 37305 | start:  | end:  
no range : 10.192.26.168 | Tuffin 37305 | start:  | end:  
no range : 10.98.9.100 | Tuffin 37305 | start:  | end:  
no range : 10.98.9.101 | Tuffin 37305 | start:  | end:  
no range : 10.192.26.100 | Tuffin 37305 | start:  | end:  
no range : 10.221.25.44 | Tuffin 37305 | start:  | end:  
no range : 10.221.113.237 | Tuffin 37305 | start:  | end:  
no range : 10.192.29.246 | Tuffin 37305 | start:  | end:  
no range : 10.221.121.242 | Tuffin 37305 | start:  | end:  
no range : 10.192.26.83 | Tuffin 37305 | start:  | end:  
no range : 10.192.2.134 | Tuffin 37305 | start:  | end:  
no range : 10.192.2.133 | Tuffin 37305 | start:  | end:  
no range : 10.192.26.103 | Tuffin 37305 | start:  | end:  
no range : 10.192.26.150 | Tuffin 37305 | start:  | end:  
no range : 10.192.26.165 | Tuffin 37305 | start:  | end:  
no range : 10.192.2.144 | Tuffin 37305 | start:  | end:  
no range : 10.192.2.142 | Tuffin 37305 | start:  | end:  
no range : 10.192.40.207 | Tuffin 37305 | start:  | end:  
no range : 10.192.26.187 | Tuffin 37305 | start:  | end:  
no range : 10.192.72.110 | Tuffin 37305 | start:  | end:  
no range : 10.192.72.119 | Tuffin 37305 | start:  | end:  
no range : 200.184.192.222 | Tuffin 37305 | start:  | end:  
no range : 10.221.121.250 | Tuffin 37305 | start:  | end:  
no range : 10.221.24.5 | Tuffin 37305 | start:  | end:  
no range : 10.221.24.4 | Tuffin 37305 | start:  | end:  
no range : 10.221.24.6 | Tuffin 37305 | start:  | end:  
no range : 10.221.57.4 | Tuffin 37305 | start:  | end:  
no range : 10.221.121.249 | Tuffin 37305 | start:  | end:  
no range : 10.221.121.250 | Tuffin 37305 | start:  | end:  
no range : 10.221.63.78 | Tuffin 37305 | start:  | end:  
no range : 10.221.113.220 | Tuffin 37305 | start:  | end:  
range d : 10.36.154.0 Tuffin 37307 || 10.36.154.0/24 | start: 0 | end: 255
no range : 10.0.30.101 | Tuffin 37307 | start:  | end:  
no range : 10.1.2.201 | Tuffin 37307 | start:  | end:  
no range : 10.111.111.129 | Tuffin 37307 | start:  | end:  
range d : 10.192.10.0 Tuffin 37307 || 10.192.10.0/24 | start: 0 | end: 255
range d : 10.192.12.0 Tuffin 37307 || 10.192.12.0/30 | start: 0 | end: 3
range d : 10.192.2.0 Tuffin 37307 || 10.192.2.0/24 | start: 0 | end: 255
range d : 10.192.26.0 Tuffin 37307 || 10.192.26.0/24 | start: 0 | end: 255
range d : 10.192.29.12 Tuffin 37307 || 10.192.29.12/30 | start: 12 | end: 15
no range : 10.192.29.152 | Tuffin 37307 | start:  | end:  
no range : 10.192.29.21 | Tuffin 37307 | start:  | end:  
no range : 10.192.29.64 | Tuffin 37307 | start:  | end:  
no range : 10.192.29.65 | Tuffin 37307 | start:  | end:  
no range : 10.192.29.66 | Tuffin 37307 | start:  | end:  
no range : 10.192.29.67 | Tuffin 37307 | start:  | end:  
no range : 10.192.29.91 | Tuffin 37307 | start:  | end:  
no range : 10.192.29.92 | Tuffin 37307 | start:  | end:  
no range : 10.192.29.93 | Tuffin 37307 | start:  | end:  
no range : 10.192.29.94 | Tuffin 37307 | start:  | end:  
no range : 10.192.29.95 | Tuffin 37307 | start:  | end:  
no range : 10.192.29.96 | Tuffin 37307 | start:  | end:  
no range : 10.192.29.97 | Tuffin 37307 | start:  | end:  
no range : 10.192.31.197 | Tuffin 37307 | start:  | end:  
range d : 10.192.40.0 Tuffin 37307 || 10.192.40.0/24 | start: 0 | end: 255
range d : 10.192.6.0 Tuffin 37307 || 10.192.6.0/24 | start: 0 | end: 255
no range : 10.208.2.133 | Tuffin 37307 | start:  | end:  
no range : 10.208.9.53 | Tuffin 37307 | start:  | end:  
no range : 10.208.9.54 | Tuffin 37307 | start:  | end:  
no range : 10.208.9.55 | Tuffin 37307 | start:  | end:  
no range : 10.210.14.165 | Tuffin 37307 | start:  | end:  
no range : 10.210.242.133 | Tuffin 37307 | start:  | end:  
no range : 10.210.4.37 | Tuffin 37307 | start:  | end:  
no range : 10.210.4.38 | Tuffin 37307 | start:  | end:  
no range : 10.210.4.39 | Tuffin 37307 | start:  | end:  
no range : 10.212.12.85 | Tuffin 37307 | start:  | end:  
no range : 10.212.12.86 | Tuffin 37307 | start:  | end:  
no range : 10.212.12.87 | Tuffin 37307 | start:  | end:  
no range : 10.212.12.88 | Tuffin 37307 | start:  | end:  
no range : 10.212.210.1 | Tuffin 37307 | start:  | end:  
no range : 10.212.216.8 | Tuffin 37307 | start:  | end:  
no range : 10.212.4.101 | Tuffin 37307 | start:  | end:  
no range : 10.216.145.146 | Tuffin 37307 | start:  | end:  
no range : 10.216.19.229 | Tuffin 37307 | start:  | end:  
no range : 10.216.19.230 | Tuffin 37307 | start:  | end:  
no range : 10.216.19.231 | Tuffin 37307 | start:  | end:  
no range : 10.216.19.232 | Tuffin 37307 | start:  | end:  
no range : 10.216.2.85 | Tuffin 37307 | start:  | end:  
range d : 10.216.4.0 Tuffin 37307 || 10.216.4.0/24 | start: 0 | end: 255
no range : 10.216.59.50 | Tuffin 37307 | start:  | end:  
no range : 10.216.96.174 | Tuffin 37307 | start:  | end:  
no range : 10.220.7.11 | Tuffin 37307 | start:  | end:  
no range : 10.221.113.14 | Tuffin 37307 | start:  | end:  
no range : 10.221.12.185 | Tuffin 37307 | start:  | end:  
no range : 10.221.12.186 | Tuffin 37307 | start:  | end:  
no range : 10.221.2.101 | Tuffin 37307 | start:  | end:  
no range : 10.221.2.117 | Tuffin 37307 | start:  | end:  
no range : 10.221.21.108 | Tuffin 37307 | start:  | end:  
no range : 10.221.21.138 | Tuffin 37307 | start:  | end:  
no range : 10.221.21.233 | Tuffin 37307 | start:  | end:  
no range : 10.221.21.237 | Tuffin 37307 | start:  | end:  
no range : 10.221.21.43 | Tuffin 37307 | start:  | end:  
no range : 10.221.21.60 | Tuffin 37307 | start:  | end:  
no range : 10.221.222.13 | Tuffin 37307 | start:  | end:  
range d : 10.221.23.0 Tuffin 37307 || 10.221.23.0/24 | start: 0 | end: 255
no range : 10.221.24.92 | Tuffin 37307 | start:  | end:  
range d : 10.221.25.0 Tuffin 37307 || 10.221.25.0/24 | start: 0 | end: 255
no range : 10.221.6.144 | Tuffin 37307 | start:  | end:  
no range : 10.221.6.16 | Tuffin 37307 | start:  | end:  
no range : 10.221.6.184 | Tuffin 37307 | start:  | end:  
no range : 10.221.6.229 | Tuffin 37307 | start:  | end:  
no range : 10.221.6.26 | Tuffin 37307 | start:  | end:  
no range : 10.221.6.44 | Tuffin 37307 | start:  | end:  
range d : 10.221.63.0 Tuffin 37307 || 10.221.63.0/24 | start: 0 | end: 255
no range : 10.221.9.245 | Tuffin 37307 | start:  | end:  
no range : 10.221.9.246 | Tuffin 37307 | start:  | end:  
no range : 10.221.9.247 | Tuffin 37307 | start:  | end:  
no range : 10.223.101.13 | Tuffin 37307 | start:  | end:  
no range : 10.223.107.115 | Tuffin 37307 | start:  | end:  
no range : 10.223.47.6 | Tuffin 37307 | start:  | end:  
no range : 10.223.49.124 | Tuffin 37307 | start:  | end:  
no range : 10.223.49.125 | Tuffin 37307 | start:  | end:  
no range : 10.223.49.160 | Tuffin 37307 | start:  | end:  
no range : 10.224.10.245 | Tuffin 37307 | start:  | end:  
no range : 10.224.10.246 | Tuffin 37307 | start:  | end:  
no range : 10.224.10.247 | Tuffin 37307 | start:  | end:  
no range : 10.224.15.133 | Tuffin 37307 | start:  | end:  
no range : 10.224.72.1 | Tuffin 37307 | start:  | end:  
no range : 10.229.29.133 | Tuffin 37307 | start:  | end:  
no range : 10.229.29.149 | Tuffin 37307 | start:  | end:  
no range : 10.229.4.53 | Tuffin 37307 | start:  | end:  
no range : 10.229.4.54 | Tuffin 37307 | start:  | end:  
no range : 10.229.4.55 | Tuffin 37307 | start:  | end:  
no range : 10.229.4.56 | Tuffin 37307 | start:  | end:  
no range : 10.36.152.199 | Tuffin 37307 | start:  | end:  
range d : 10.36.155.0 Tuffin 37307 || 10.36.155.0/24 | start: 0 | end: 255
no range : 10.36.24.151 | Tuffin 37307 | start:  | end:  
no range : 10.5.5.21 | Tuffin 37307 | start:  | end:  
no range : 10.5.5.7 | Tuffin 37307 | start:  | end:  
no range : 10.5.5.76 | Tuffin 37307 | start:  | end:  
no range : 10.5.5.77 | Tuffin 37307 | start:  | end:  
no range : 10.5.5.78 | Tuffin 37307 | start:  | end:  
no range : 10.5.5.79 | Tuffin 37307 | start:  | end:  
no range : 10.9.5.11 | Tuffin 37307 | start:  | end:  
no range : 10.9.5.16 | Tuffin 37307 | start:  | end:  
no range : 110.221.6.48 | Tuffin 37307 | start:  | end:  
range d : 172.16.0.0 Tuffin 37307 || 172.16.0.0/24 | start: 0 | end: 255
no range : 172.16.0.13 | Tuffin 37307 | start:  | end:  
no range : 172.16.32.4 | Tuffin 37307 | start:  | end:  
range d : 172.16.35.0 Tuffin 37307 || 172.16.35.0/24 | start: 0 | end: 255
no range : 172.16.36.130 | Tuffin 37307 | start:  | end:  
no range : 172.16.37.129 | Tuffin 37307 | start:  | end:  
no range : 172.16.37.29 | Tuffin 37307 | start:  | end:  
no range : 172.16.37.30 | Tuffin 37307 | start:  | end:  
no range : 189.40.252.2 | Tuffin 37307 | start:  | end:  
no range : 189.40.252.3 | Tuffin 37307 | start:  | end:  
no range : 192.168.0.38 | Tuffin 37307 | start:  | end:  
no range : 192.168.0.44 | Tuffin 37307 | start:  | end:  
no range : 192.168.0.82 | Tuffin 37307 | start:  | end:  
no range : 192.168.30.1 | Tuffin 37307 | start:  | end:  
range d : 192.168.42.0 Tuffin 37307 || 192.168.42.0/24 | start: 0 | end: 255
no range : 192.168.55.37 | Tuffin 37307 | start:  | end:  
no range : 192.168.55.38 | Tuffin 37307 | start:  | end:  
no range : 192.168.55.39 | Tuffin 37307 | start:  | end:  
no range : 192.168.55.40 | Tuffin 37307 | start:  | end:  
no range : 192.168.55.41 | Tuffin 37307 | start:  | end:  
no range : 200.184.192.195 | Tuffin 37307 | start:  | end:  
no range : 200.184.192.200 | Tuffin 37307 | start:  | end:  
no range : 200.184.192.204 | Tuffin 37307 | start:  | end:  
no range : 200.184.192.213 | Tuffin 37307 | start:  | end:  
no range : 200.184.192.227 | Tuffin 37307 | start:  | end:  
no range : 200.184.192.240 | Tuffin 37307 | start:  | end:  
no range : 200.184.192.241 | Tuffin 37307 | start:  | end:  
no range : 200.184.192.245 | Tuffin 37307 | start:  | end:  
no range : 200.184.192.251 | Tuffin 37307 | start:  | end:  
no range : 200.184.194.203 | Tuffin 37307 | start:  | end:  
no range : 200.184.194.223 | Tuffin 37307 | start:  | end:  
no range : 201.12.203.19 | Tuffin 37307 | start:  | end:  
range d : 10.192.72.0 Tuffin 37308 || 10.192.72.0/24 | start: 0 | end: 255
range d : 10.192.29.0 Tuffin 37308 || 10.192.29.0/24 | start: 0 | end: 255
range d : 10.221.121.0 Tuffin 37308 || 10.221.121.0/24 | start: 0 | end: 255
range d : 10.221.21.0 Tuffin 37308 || 10.221.21.0/24 | start: 0 | end: 255
range d : 10.221.113.0 Tuffin 37308 || 10.221.113.0/24 | start: 0 | end: 255
range d : 10.192.92.0 Tuffin 37308 || 10.192.92.0/24 | start: 0 | end: 255
range d : 10.192.95.0 Tuffin 37308 || 10.192.95.0/24 | start: 0 | end: 255
range d : 10.221.24.0 Tuffin 37308 || 10.221.24.0/26 | start: 0 | end: 63
range d : 10.221.25.0 Tuffin 37308 || 10.221.25.0/24 | start: 0 | end: 255
no range : 10.221.25.252 | Tuffin 37309 | start:  | end:  
no range : 10.192.26.35 | Tuffin 37309 | start:  | end:  
no range : 10.192.16.254 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.20 | Tuffin 37309 | start:  | end:  
no range : 10.221.63.126 | Tuffin 37309 | start:  | end:  
