ips;portas;controle;origem;
10.221.113.210/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.113.207/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.121.242/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.121.195/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.121.81/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.67.108/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.113.127/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.121.42/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.40.94/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.113.230/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.113.229/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.121.110/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.121.111/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.121.112/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.113.244/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.113.237/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.26.168/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.98.9.100/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.98.9.101/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.26.100/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.25.44/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.113.237/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.29.246/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.121.242/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.26.83/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.2.134/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.2.133/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.26.103/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.26.150/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.26.165/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.2.144/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.2.142/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.40.207/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.26.187/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.72.110/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.192.72.119/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
200.184.192.222/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.121.250/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.24.5/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.24.4/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.24.6/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.57.4/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.121.249/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.121.250/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.63.78/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.221.113.220/32;22,3389;label_37305;10.16.7.192/26,10.174.21.64/26;
10.36.154.0/24;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.0.30.101/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.1.2.201/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.111.111.129/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.10.0/24;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.12.0/30;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.2.0/24;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.26.0/24;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.12/30;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.152/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.21/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.64/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.65/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.66/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.67/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.91/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.92/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.93/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.94/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.95/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.96/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.29.97/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.31.197/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.40.0/24;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.192.6.0/24;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.208.2.133/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.208.9.53/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.208.9.54/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.208.9.55/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.210.14.165/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
10.210.242.133/32;22,3389;label_37307;10.16.7.192/26,10.174.21.64/26;
