timestamp;data;status_teste;ip;porta;controle;origem;mascara rede;
1653673031;27/05/2022 14:37:11;naook;10.221.113.210;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.113.210/32;
1653673031;27/05/2022 14:37:11;ok;10.221.113.210;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.113.210/32;
1653673036;27/05/2022 14:37:16;naook;10.221.113.207;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.113.207/32;
1653673037;27/05/2022 14:37:17;ok;10.221.113.207;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.113.207/32;
1653673042;27/05/2022 14:37:22;naook;10.221.121.242;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.242/32;
1653673043;27/05/2022 14:37:23;ok;10.221.121.242;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.242/32;
1653673048;27/05/2022 14:37:28;naook;10.221.121.195;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.195/32;
1653673049;27/05/2022 14:37:29;ok;10.221.121.195;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.195/32;
1653673054;27/05/2022 14:37:34;ok;10.221.121.81;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.81/32;
1653673060;27/05/2022 14:37:40;ok;10.221.121.81;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.81/32;
1653673066;27/05/2022 14:37:46;naook;10.192.67.108;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.192.67.108/32;
1653673072;27/05/2022 14:37:52;ok;10.192.67.108;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.192.67.108/32;
1653673078;27/05/2022 14:37:58;ok;10.221.113.127;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.113.127/32;
1653673084;27/05/2022 14:38:04;ok;10.221.113.127;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.113.127/32;
1653673090;27/05/2022 14:38:10;ok;10.221.121.42;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.42/32;
1653673096;27/05/2022 14:38:16;ok;10.221.121.42;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.42/32;
1653673102;27/05/2022 14:38:22;naook;10.192.40.94;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.192.40.94/32;
1653673103;27/05/2022 14:38:23;ok;10.192.40.94;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.192.40.94/32;
1653673108;27/05/2022 14:38:28;naook;10.221.113.230;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.113.230/32;
1653673114;27/05/2022 14:38:34;naook;10.221.113.230;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.113.230/32;
1653673120;27/05/2022 14:38:40;naook;10.221.113.229;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.113.229/32;
1653673126;27/05/2022 14:38:46;naook;10.221.113.229;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.113.229/32;
1653673132;27/05/2022 14:38:52;naook;10.221.121.110;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.110/32;
1653673133;27/05/2022 14:38:53;ok;10.221.121.110;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.110/32;
1653673138;27/05/2022 14:38:58;naook;10.221.121.111;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.111/32;
1653673139;27/05/2022 14:38:59;ok;10.221.121.111;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.111/32;
1653673144;27/05/2022 14:39:04;naook;10.221.121.112;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.112/32;
1653673145;27/05/2022 14:39:05;ok;10.221.121.112;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.121.112/32;
1653673150;27/05/2022 14:39:10;naook;10.221.113.244;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.113.244/32;
1653673151;27/05/2022 14:39:11;ok;10.221.113.244;3389;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.113.244/32;
1653673156;27/05/2022 14:39:16;naook;10.221.113.237;22;Tuffin 37305;10.16.7.192/26,10.174.21.64/26;10.221.113.237/32;
