timestamp;data;status_teste;ip;porta;controle;origem;mascara rede;
1654290540;03/06/2022 18:09:00;naook;10.221.25.90;33060;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.90/32;
1654290540;03/06/2022 18:09:00;naook;10.221.25.90;33062;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.90/32;
1654290540;03/06/2022 18:09:00;naook;10.221.25.90;5430;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.90/32;
1654290540;03/06/2022 18:09:00;naook;10.221.25.90;5540;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.90/32;
1654290540;03/06/2022 18:09:00;naook;10.221.25.90;50000;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.90/32;
1654290540;03/06/2022 18:09:00;naook;10.221.25.90;50999;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.90/32;
1654290540;03/06/2022 18:09:00;naook;10.221.25.90;443;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.90/32;
1654290540;03/06/2022 18:09:00;naook;10.221.25.90;1432;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.90/32;
1654290540;03/06/2022 18:09:00;naook;10.221.25.90;1435;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.90/32;
1654290540;03/06/2022 18:09:00;ok;10.192.26.106;22;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.106/32;
1654290545;03/06/2022 18:09:05;naook;10.192.26.106;3389;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.106/32;
1654290546;03/06/2022 18:09:06;naook;10.192.26.106;80;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.106/32;
1654290546;03/06/2022 18:09:06;naook;10.192.26.106;1520;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.106/32;
1654290546;03/06/2022 18:09:06;naook;10.192.26.106;1599;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.106/32;
1654290546;03/06/2022 18:09:06;naook;10.192.26.106;1158;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.106/32;
1654290546;03/06/2022 18:09:06;naook;10.192.26.106;5500;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.106/32;
